,dwell,car,2,child,age,5,6,religion,8,9,10,11,12,13
0,0,0,2,1,22,0,0,1,0,0,49,1,32,0
1,0,1,1,0,42,0,0,1,0,0,49,1,46,1
2,1,1,2,1,37,0,0,1,0,3,39,1,47,1
3,0,0,1,0,46,1,0,1,0,0,39,1,40,0
4,0,0,6,0,8,1,0,0,0,1,71,1,17,0
5,0,0,0,0,21,1,0,0,0,0,59,1,31,0
6,1,0,1,0,8,0,0,0,0,2,45,1,18,0
7,0,1,4,3,18,0,0,1,0,1,59,1,10,0
8,1,1,3,2,38,0,0,1,0,0,49,1,48,1
9,1,0,0,0,17,0,0,0,0,0,55,1,19,0
10,0,0,4,3,34,0,0,1,0,1,47,1,20,0
11,0,0,3,0,19,0,0,1,0,0,47,1,29,0
12,1,1,1,0,16,0,0,1,0,0,47,1,26,1
13,0,1,9,0,17,1,0,0,0,2,39,1,1,0
14,1,0,2,0,9,0,0,0,0,0,83,1,2,0
15,1,1,1,0,18,0,0,1,0,0,47,1,28,0
16,1,0,6,0,11,0,0,0,0,0,39,1,21,0
17,1,0,3,2,16,0,0,1,0,0,47,1,26,0
18,1,0,2,2,32,1,1,0,0,2,43,1,42,0
19,0,0,2,1,24,0,0,1,0,0,53,1,3,0
20,1,0,3,2,38,0,0,1,0,3,59,1,48,1
21,0,1,4,2,25,0,0,1,0,2,41,1,10,0
22,0,0,3,2,65,0,0,1,0,0,39,1,45,0
23,0,0,3,1,18,1,1,0,0,0,39,1,18,0
24,1,0,3,0,27,0,0,0,0,1,47,1,15,0
25,0,0,6,4,57,0,0,1,0,0,39,1,67,0
26,1,0,3,2,29,1,0,1,0,2,47,1,13,0
27,0,1,3,0,16,1,1,0,0,1,39,1,6,0
28,0,0,5,0,12,1,0,0,0,0,41,1,22,0
29,0,0,3,2,30,0,0,1,0,2,39,1,40,1
30,0,1,4,3,30,0,0,1,0,2,59,1,40,1
31,0,1,2,1,44,0,0,1,0,2,63,1,28,1
32,1,1,0,0,16,0,0,0,0,3,54,1,26,1
33,1,0,3,2,27,1,0,1,0,0,47,1,37,0
34,0,1,2,1,36,0,0,1,0,2,59,1,26,0
35,0,1,5,0,7,0,0,0,0,1,39,1,17,0
36,0,0,1,0,43,1,0,1,0,0,39,1,12,0
37,0,1,3,2,28,0,0,1,0,1,89,0,31,1
38,0,0,3,2,44,0,0,1,0,0,39,1,54,1
39,0,0,2,1,43,1,0,1,0,2,39,1,30,0
40,0,1,6,3,39,0,0,1,0,0,47,1,40,1
41,0,0,2,2,25,1,1,0,0,1,47,1,35,0
42,0,1,3,2,14,1,0,1,0,1,14,1,24,0
43,0,1,0,0,6,1,0,0,0,1,47,1,0,0
44,1,0,3,0,34,0,0,0,0,0,97,1,22,0
45,1,0,5,4,18,1,0,1,0,1,35,1,20,0
46,0,2,9,0,9,0,0,0,0,2,29,1,5,0
47,0,0,2,1,13,0,0,1,0,0,55,1,23,0
48,0,2,4,3,46,0,0,1,0,3,3,1,56,1
49,0,0,2,0,8,0,0,0,0,1,5,1,18,0
50,0,2,4,3,32,0,0,1,0,3,59,1,42,1
51,0,0,2,0,17,0,0,0,0,1,47,1,20,0
52,0,1,7,0,11,0,0,0,0,2,23,1,12,0
53,1,0,2,1,17,1,1,0,0,1,47,1,2,0
54,1,0,5,2,51,0,0,1,0,0,29,1,3,0
55,1,0,2,1,36,1,0,1,0,1,49,1,30,0
56,1,1,3,2,31,0,0,1,0,2,59,1,1,1
57,0,1,1,0,37,0,0,1,0,2,49,1,13,1
58,1,0,3,1,58,0,0,1,0,0,78,1,14,0
59,0,0,2,1,33,0,0,1,0,0,39,1,41,0
60,0,0,4,0,8,0,0,0,0,1,9,1,18,0
61,0,0,2,1,12,0,0,1,0,0,24,1,22,0
62,0,0,2,1,17,1,0,1,0,1,43,1,8,0
63,0,1,3,2,33,0,0,1,0,1,48,1,9,1
64,1,0,1,0,52,0,0,1,0,0,49,1,40,0
65,1,0,3,2,28,0,0,1,0,1,55,1,38,0
66,0,1,4,3,41,0,0,1,0,0,71,1,51,0
67,1,0,5,4,23,0,0,1,0,0,39,1,10,0
68,0,0,3,2,35,0,0,1,0,0,39,1,16,0
69,0,1,1,0,52,0,1,0,0,3,59,1,62,1
70,0,0,3,3,30,1,1,0,0,1,39,1,40,0
71,0,1,3,2,45,0,0,1,0,1,55,1,55,1
72,1,1,0,0,26,0,0,0,0,3,59,1,1,1
73,0,1,3,2,46,0,0,1,0,3,39,1,12,1
74,1,0,6,0,10,1,0,0,0,0,47,1,20,0
75,0,0,4,1,47,1,0,1,0,0,47,1,57,0
76,0,1,3,2,24,0,0,1,0,1,47,1,19,0
77,0,1,1,0,44,0,0,1,0,2,39,1,54,1
78,0,0,2,1,11,0,0,1,0,1,39,1,12,0
79,1,0,4,0,16,0,0,0,0,0,47,1,1,0
80,0,0,2,0,8,0,0,0,0,1,59,1,18,0
81,0,0,7,0,7,0,0,0,0,1,34,1,17,0
82,1,0,3,0,13,0,0,0,0,0,49,1,23,0
83,1,0,2,2,14,1,1,0,0,0,39,1,10,0
84,1,0,1,0,15,0,0,1,0,0,55,1,25,0
85,1,1,3,2,21,0,0,1,0,1,54,1,27,1
86,0,0,3,1,30,1,0,1,0,0,94,1,40,1
87,0,1,7,0,15,0,0,0,0,1,47,1,24,0
88,1,1,3,2,18,0,0,1,0,0,47,1,4,0
89,1,0,3,2,17,1,0,1,0,0,39,1,27,0
90,1,1,0,0,47,1,1,0,0,3,39,1,4,1
91,0,1,3,2,26,1,0,1,0,1,39,1,30,0
92,0,1,3,2,47,0,0,1,0,0,39,1,30,0
93,0,0,8,8,42,1,0,0,0,0,39,1,5,0
94,1,0,5,4,29,1,0,1,0,1,55,1,3,1
95,0,0,1,0,16,0,0,0,0,0,47,1,26,0
96,0,0,1,0,52,0,0,1,0,0,47,1,38,0
97,0,0,3,2,28,1,0,1,0,2,39,1,38,1
98,1,0,1,1,70,1,1,0,0,0,19,0,80,0
99,0,0,2,2,22,1,0,0,0,1,39,1,20,0
100,0,0,7,2,32,1,0,0,0,1,43,1,30,0
101,1,2,3,2,38,1,0,1,0,2,43,1,44,0
102,0,0,2,1,45,0,0,1,0,2,39,1,16,1
103,0,0,3,0,24,1,0,0,0,2,39,1,14,0
104,0,0,6,0,39,1,0,0,0,2,9,1,49,0
105,0,1,5,3,24,0,0,1,0,1,47,1,5,1
106,0,1,2,1,29,0,0,1,0,1,29,1,39,1
107,0,1,2,1,32,1,0,1,0,0,69,1,17,0
108,0,0,2,0,40,1,1,0,0,0,39,1,50,0
109,0,0,4,3,55,1,0,1,0,0,14,0,65,0
110,0,2,4,3,31,0,0,1,0,2,77,1,35,1
111,1,0,4,3,19,1,0,1,0,0,29,1,2,0
112,1,0,1,0,12,0,0,1,0,1,65,1,22,0
113,0,0,5,0,8,0,0,0,0,0,71,1,18,0
114,1,0,4,3,35,0,0,1,0,1,64,1,45,0
115,0,1,2,2,44,0,1,0,0,0,44,1,54,0
116,1,1,3,2,19,1,0,1,0,3,22,1,29,1
117,0,2,4,0,12,0,0,0,0,2,44,1,22,0
118,0,4,5,0,18,0,0,0,0,3,63,1,12,1
119,0,0,5,2,48,0,0,1,0,0,39,1,21,0
120,0,0,2,1,15,1,0,1,0,2,43,1,13,0
121,0,0,3,2,37,0,0,1,0,0,59,1,47,0
122,0,1,11,9,37,1,0,1,0,0,29,1,12,0
123,0,0,2,1,14,0,0,1,0,1,47,1,0,0
124,0,0,3,2,22,1,0,1,0,1,3,1,32,0
125,1,0,3,1,12,1,0,1,0,0,47,1,21,0
126,0,1,4,0,44,1,0,0,0,0,39,1,54,1
127,1,1,3,2,36,1,0,1,0,0,17,1,30,0
128,0,0,4,3,18,0,0,1,0,2,39,1,8,0
129,0,0,2,1,27,0,0,1,0,0,43,1,35,0
130,1,0,2,0,12,1,0,0,0,2,29,1,21,1
131,0,0,3,2,36,0,0,1,0,0,39,1,15,0
132,0,2,2,1,21,1,0,1,0,3,53,1,31,1
133,0,0,3,2,30,0,0,1,0,1,9,1,40,1
134,1,1,2,1,23,1,0,1,0,2,24,1,33,0
135,0,0,2,1,19,0,0,1,0,0,47,1,27,0
136,0,1,3,2,31,0,0,1,0,1,69,1,41,0
137,0,0,3,0,11,0,0,1,0,0,47,1,21,0
138,1,0,0,0,35,0,0,0,0,0,59,1,3,0
139,1,4,6,3,40,0,0,1,0,1,39,1,17,1
140,0,0,5,3,61,0,0,1,0,0,24,1,45,0
141,1,0,0,0,22,1,1,0,0,1,59,1,14,0
142,0,1,4,0,13,1,0,0,0,3,39,1,20,1
143,0,0,2,1,25,0,0,1,0,1,47,1,28,0
144,0,0,2,1,40,0,0,1,0,0,39,1,50,0
145,1,0,5,3,10,1,0,0,0,0,11,1,20,0
146,1,0,1,0,28,1,0,1,0,0,39,1,5,0
147,0,0,9,6,37,0,0,1,0,0,39,1,28,0
148,0,0,2,0,13,0,0,0,0,0,47,1,21,0
149,1,2,0,0,12,1,0,0,0,0,59,1,1,0
150,0,1,3,2,36,0,0,1,0,3,39,1,29,1
151,0,1,2,1,38,0,1,0,0,0,83,1,27,0
152,0,1,6,0,10,0,0,0,0,0,43,1,19,0
153,0,1,2,1,20,1,0,1,0,1,47,1,30,0
154,0,0,5,5,30,1,1,0,0,0,55,0,40,0
155,1,2,3,2,36,0,0,1,0,3,39,1,25,1
156,0,2,4,0,30,0,1,0,0,0,41,1,1,0
157,0,1,3,2,22,1,0,1,0,1,39,1,24,0
158,1,0,3,2,17,0,0,1,0,1,47,1,19,0
159,0,1,1,0,27,0,0,1,0,2,29,1,37,1
160,0,0,5,0,13,1,0,0,0,2,43,1,20,0
161,1,1,3,2,37,1,0,1,0,3,23,1,0,1
162,1,0,3,1,30,0,0,1,0,2,97,1,40,0
163,1,1,0,0,18,0,1,0,0,3,49,1,28,1
164,0,0,3,2,33,0,0,1,0,0,53,1,12,0
165,0,0,3,2,18,0,0,1,0,1,29,1,8,0
166,0,1,2,1,49,0,0,1,0,0,47,1,59,1
167,0,1,4,0,8,0,0,0,0,0,47,1,18,0
168,0,1,4,3,17,1,0,1,0,1,43,1,24,0
169,1,0,3,2,31,0,0,1,0,1,49,1,12,1
170,1,1,1,0,22,0,0,1,0,0,47,1,12,0
171,1,0,7,0,4,1,0,0,0,0,19,1,14,0
172,1,0,5,4,30,0,0,1,0,0,47,1,40,1
173,1,1,0,0,33,0,1,0,0,0,47,1,8,1
174,1,0,2,2,25,1,0,0,0,0,49,1,35,0
175,0,1,4,1,42,0,0,1,0,1,49,1,52,0
176,1,0,0,0,28,0,0,0,0,0,41,1,6,0
177,0,1,7,0,12,0,0,0,0,0,44,1,6,0
178,0,1,1,0,28,0,0,1,0,2,47,1,38,1
179,0,0,4,3,35,0,0,1,0,0,83,1,45,0
180,0,0,7,0,15,0,0,0,0,0,39,1,25,0
181,0,0,0,0,30,0,0,0,0,0,39,1,19,0
182,0,1,4,2,24,0,0,1,0,0,64,1,20,0
183,0,1,7,0,23,0,0,0,0,1,59,1,30,0
184,0,1,3,2,27,0,0,1,0,2,35,1,1,1
185,0,1,4,3,40,0,0,1,0,0,44,1,30,1
186,1,1,4,3,37,0,1,0,0,0,41,1,47,0
187,1,0,2,1,16,0,0,1,0,1,45,1,26,0
188,0,0,0,0,23,0,1,0,0,0,59,1,8,0
189,0,0,2,1,23,0,0,1,0,0,41,1,33,0
190,0,0,3,2,37,0,0,1,0,0,44,1,7,0
191,0,0,3,2,33,1,1,0,0,1,23,0,30,0
192,0,1,1,0,47,0,0,1,0,0,19,1,10,0
193,0,1,2,1,19,0,0,1,0,1,59,1,29,0
194,1,0,3,0,1,0,0,0,0,0,39,1,4,0
195,0,2,2,0,39,0,1,0,0,2,71,1,34,1
196,0,0,4,3,39,0,0,1,0,3,89,1,49,1
197,0,1,2,1,52,0,0,1,1,0,83,1,43,1
198,0,2,3,2,42,0,0,1,0,2,19,1,52,1
199,0,1,2,1,32,0,0,1,0,0,39,1,39,0
200,0,0,5,3,43,0,0,1,0,0,39,1,10,0
201,0,0,4,0,8,1,0,0,0,1,44,1,8,0
202,1,2,8,0,9,1,0,0,0,1,49,1,0,0
203,1,1,1,0,20,1,0,1,0,3,43,1,2,1
204,0,0,3,0,10,0,0,0,0,1,19,1,20,0
205,0,0,5,3,46,0,1,0,0,0,49,0,56,0
206,0,1,3,2,28,0,0,1,0,2,39,1,38,0
207,1,2,1,0,24,0,1,0,0,1,43,1,34,1
208,0,2,5,4,28,1,0,1,0,2,43,1,38,1
209,1,0,2,1,14,0,0,1,0,0,44,1,24,0
